"epoch","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step__MAX","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss__MAX","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch__MAX"
"66","1486.5","1486","1487","89613.01953125","89613.01953125","89613.01953125","41103.75","41103.75","41103.75"
"67","1508.5","1508","1509","97137.25260416667","97137.25260416667","97137.25260416667","39920.44638671875","39920.44638671875","39920.44638671875"
"68","1530.5","1530","1531","87294.35677083333","87294.35677083333","87294.35677083333","39342.32392578125","39342.32392578125","39342.32392578125"
"69","1552.5","1552","1553","111482.29947916667","111482.29947916667","111482.29947916667","38877.224609375","38877.224609375","38877.224609375"
"70","1575.5","1574","1577","89515.34635416667","89515.34635416667","89515.34635416667","39536.77607421875","39536.77607421875","39536.77607421875"
"71","1598.5","1598","1599","105483.08984375","105483.08984375","105483.08984375","38842.0384765625","38842.0384765625","38842.0384765625"
"72","1620.5","1620","1621","101783.48046875","101783.48046875","101783.48046875","39007.09755859375","39007.09755859375","39007.09755859375"
"73","1642.5","1642","1643","95764.6875","95764.6875","95764.6875","39342.38525390625","39342.38525390625","39342.38525390625"
"74","1664.5","1664","1665","96887.40234375","96887.40234375","96887.40234375","38587.641796875","38587.641796875","38587.641796875"
"75","1686.5","1686","1687","104520.16536458333","104520.16536458333","104520.16536458333","36728.096484375","36728.096484375","36728.096484375"
"76","1708.5","1708","1709","93836.51692708333","93836.51692708333","93836.51692708333","35124.04169921875","35124.04169921875","35124.04169921875"
"77","1730.5","1730","1731","100720.265625","100720.265625","100720.265625","34539.2865234375","34539.2865234375","34539.2865234375"
"78","1752.5","1752","1753","94443.72526041667","94443.72526041667","94443.72526041667","33958.34130859375","33958.34130859375","33958.34130859375"
"79","1774.5","1774","1775","110701.25651041667","110701.25651041667","110701.25651041667","33622.61318359375","33622.61318359375","33622.61318359375"
"80","1797.5","1796","1799","98617.42708333333","98617.42708333333","98617.42708333333","33498.59794921875","33498.59794921875","33498.59794921875"
"81","1820.5","1820","1821","97979.01171875","97979.01171875","97979.01171875","32384.5365234375","32384.5365234375","32384.5365234375"
"82","1842.5","1842","1843","105617.73697916667","105617.73697916667","105617.73697916667","32618.033984375","32618.033984375","32618.033984375"
"83","1864.5","1864","1865","106912.22526041667","106912.22526041667","106912.22526041667","32307.8271484375","32307.8271484375","32307.8271484375"
"84","1886.5","1886","1887","100048.84114583333","100048.84114583333","100048.84114583333","31975.0228515625","31975.0228515625","31975.0228515625"
"85","1908.5","1908","1909","104295.10807291667","104295.10807291667","104295.10807291667","31836.7904296875","31836.7904296875","31836.7904296875"
"86","1930.5","1930","1931","117014.32682291667","117014.32682291667","117014.32682291667","31896.09443359375","31896.09443359375","31896.09443359375"
"87","1952.5","1952","1953","101306.65885416667","101306.65885416667","101306.65885416667","31443.8630859375","31443.8630859375","31443.8630859375"
"88","1974.5","1974","1975","102810.23567708333","102810.23567708333","102810.23567708333","30598.82421875","30598.82421875","30598.82421875"
"89","1996.5","1996","1997","107690.01953125","107690.01953125","107690.01953125","29984.22236328125","29984.22236328125","29984.22236328125"
"90","2019.5","2018","2021","104360.02083333333","104360.02083333333","104360.02083333333","30088.9845703125","30088.9845703125","30088.9845703125"
"91","2042.5","2042","2043","109336.84895833333","109336.84895833333","109336.84895833333","29658.6759765625","29658.6759765625","29658.6759765625"
"92","2064.5","2064","2065","113873.8203125","113873.8203125","113873.8203125","29476.76171875","29476.76171875","29476.76171875"
"93","2086.5","2086","2087","107344.47265625","107344.47265625","107344.47265625","29323.47412109375","29323.47412109375","29323.47412109375"
"94","2108.5","2108","2109","109495.25390625","109495.25390625","109495.25390625","28817.00341796875","28817.00341796875","28817.00341796875"
"95","2130.5","2130","2131","103962.64453125","103962.64453125","103962.64453125","29312.69443359375","29312.69443359375","29312.69443359375"
"96","2152.5","2152","2153","109599.86848958333","109599.86848958333","109599.86848958333","29091.69912109375","29091.69912109375","29091.69912109375"
"97","2174.5","2174","2175","114537.03776041667","114537.03776041667","114537.03776041667","28731.89453125","28731.89453125","28731.89453125"
"98","2196.5","2196","2197","106209.59635416667","106209.59635416667","106209.59635416667","28718.08974609375","28718.08974609375","28718.08974609375"
"99","2218.5","2218","2219","113943.55208333333","113943.55208333333","113943.55208333333","28679.97021484375","28679.97021484375","28679.97021484375"
