"epoch","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step__MAX","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss__MAX","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch__MAX"
"28","4296.5","4296","4297","1182.8837926528033","1182.8837926528033","1182.8837926528033","886.444850137789","886.444850137789","886.444850137789"
"29","4444.5","4444","4445","1165.6397310144762","1165.6397310144762","1165.6397310144762","852.8998224963881","852.8998224963881","852.8998224963881"
"30","4593.5","4592","4595","1144.538829130285","1144.538829130285","1144.538829130285","824.9309256566714","824.9309256566714","824.9309256566714"
"31","4742.5","4742","4743","1002.9312995461856","1002.9312995461856","1002.9312995461856","843.9335433750937","843.9335433750937","843.9335433750937"
"32","4890.5","4890","4891","1085.3666704963234","1085.3666704963234","1085.3666704963234","776.9266407587756","776.9266407587756","776.9266407587756"
"33","5038.5","5038","5039","1009.3719697840073","1009.3719697840073","1009.3719697840073","750.7588139364165","750.7588139364165","750.7588139364165"
"34","5186.5","5186","5187","1050.3658662683824","1050.3658662683824","1050.3658662683824","720.6975866343877","720.6975866343877","720.6975866343877"
"35","5334.5","5334","5335","942.0852840647977","942.0852840647977","942.0852840647977","729.535181332941","729.535181332941","729.535181332941"
"36","5482.5","5482","5483","1111.7724178538604","1111.7724178538604","1111.7724178538604","663.3036783296768","663.3036783296768","663.3036783296768"
"37","5630.5","5630","5631","917.4599537568934","917.4599537568934","917.4599537568934","727.0897664109322","727.0897664109322","727.0897664109322"
